104.97	240.53	0.88
101.76	241.52	0.39
104.18	240.31	0.3
99.49	241.87	0.98
105.22	241.71	0.05
101.76	240.25	-0.43
99.49	241.87	-0.31
101.88	239.75	0.48
101.76	240.25	-0.96
103.67	240.34	0.82
104.46	241.87	-0.51
99.2	240.45	-0.6
100.42	241.87	0.12
100.93	240.25	-1
104.11	241.87	0.37
102.29	240.91	0.53
101.06	240.25	-0.23
103.55	241.87	0.08
102.86	240.51	-0.16
107	240.34	-0.93
105.9	242.06	-0.85
104.97	-159.47	0.16
101.76	-158.48	0.93
104.18	-159.69	-0.48
99.49	-158.13	0.82
105.22	-158.29	0.96
101.76	-159.75	-0.3
99.49	-158.13	0.96
101.88	-160.25	0.13
101.76	-159.75	0.85
103.67	-159.66	0.96
104.46	-158.13	-0.94
99.2	-159.55	0.34
100.42	-158.13	0.96
100.93	-159.75	0.65
104.11	-158.13	0.61
104.97	220.53	-0.78
101.76	221.52	0.93
104.18	220.31	-0.6
99.49	221.87	1
105.22	221.71	-0.7
101.76	220.25	-0.47
99.49	221.87	-0.47
101.88	219.75	-0.65
101.76	220.25	0.84
103.67	220.34	-0.83
104.46	221.87	0.02
99.2	220.45	0.53
100.42	221.87	-0.77
100.93	220.25	1
104.11	221.87	-0.38
102.29	220.91	-0.84
101.06	220.25	0.98
103.55	221.87	-0.65
102.86	220.51	0.11
104.97	220.53	-1
101.76	221.52	0.08
104.18	220.31	0.36
99.49	221.87	-0.88
105.22	221.71	0.72
101.76	220.25	-0.95
99.49	221.87	0.22
101.88	219.75	-0.55
101.76	220.25	-0.98
103.67	220.34	1
104.46	221.87	-0.51
99.2	220.45	0.87
100.42	221.87	0.98
100.93	220.25	-0.7
104.11	221.87	-0.41
102.29	220.91	0.34
101.06	220.25	-0.28
103.55	221.87	0.58
102.86	220.51	-0.21
107	220.34	-0.87
105.9	222.06	1
105.03	221.93	-0.96
99.49	220.25	-0.92
98.65	222.14	0.93
104.99	220.54	-0.24
101.76	221.87	0.79
101.54	222.14	0.93
99.07	221.87	1
97.75	220.25	0.34
102.69	218.43	-0.1
105.81	220.25	-0.5
101.64	221.87	0.98
107.19	220.25	-0.7
104.97	220.24	-0.1
101.74	220.24	0.41
104.11	221.87	0.3
104.46	220.25	-0.18
102.06	222.14	0.77
102.86	220.51	0.79
104.99	220.25	0.44
		
